NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,RapportExprimes,RapportInscrits
BAILLY,Luc,M.,EXG,Extrême gauche,1138,"   2,40","   1,31",non,00103,2.4,1.31
FRANQUET,Christine,Mme,VEC,Les Verts,1640,"   3,46","   1,89",non,00103,3.46,1.89
ALBERT,Emilie,Mme,CPNT,Chasse Pêche Nature Traditions,481,"   1,01","   0,55",non,00103,1.01,0.55
MARMORAT,Jacques,M.,DIV,Divers,2,"   0,00","   0,00",non,00103,0.0,0.0
LE MAOUT,Hervé,M.,MPF,Mouvement pour la France,1081,"   1,70","   0,98",non,00104,1.7,0.98
VOISIN,Michel,M.,UMP,Union pour un Mouvement Populaire,33777,"  53,14","  30,78",oui,00104,53.14,30.78
MONTESSUIT,Claude,M.,VEC,Les Verts,2409,"   3,79","   2,19",non,00104,3.79,2.19
DE LACHEISSERIE,Jean-Loup,M.,FN,Front national,3541,"   5,57","   3,22",non,00104,5.57,3.22
GREFFET,Christophe,M.,SOC,Socialiste,12395,"  19,50","  11,29",non,00104,19.5,11.29
BURGAT,Jacqueline,Mme,COM,Communiste,1270,"   2,00","   1,15",non,00104,2.0,1.15
DRACOS,Electre,Mme,EXG,Extrême gauche,608,"   0,96","   0,55",non,00104,0.96,0.55
MICHAUD,Christel,Mme,ECO,Ecologiste,737,"   1,16","   0,67",non,00104,1.16,0.67
CORMORECHE,Pierre,M.,UDFD,UDF-Mouvement Démocrate,4895,"   7,70","   4,46",non,00104,7.7,4.46
MANDRAS,Marie-Françoise,Mme,CPNT,Chasse Pêche Nature Traditions,716,"   1,13","   0,65",non,00104,1.13,0.65
VACLE,Catherine,Mme,EXG,Extrême gauche,2133,"   3,36","   1,94",non,00104,3.36,1.94
KARIMET,Fawaz,M.,SOC,Socialiste,8786,"  20,17","  12,14",non,00201,20.17,12.14
ROUX,Jean-Louis,M.,FN,Front national,2476,"   5,68","   3,42",non,00201,5.68,3.42
BRUNET,Claudine,Mme,COM,Communiste,918,"   2,11","   1,26",non,00201,2.11,1.26
DELHAYE,Eric,M.,UDFD,UDF-Mouvement Démocrate,1961,"   4,50","   2,71",non,00201,4.5,2.71
DOSIERE,René,M.,DVG,Divers gauche,10916,"  25,06","  15,08",Bal.,00201,25.06,15.08
PERNELLE,Jean-Loup,M.,EXG,Extrême gauche,600,"   1,38","   0,82",non,00201,1.38,0.82
LEGRAS,Sylvie,Mme,MPF,Mouvement pour la France,649,"   1,49","   0,89",non,00201,1.49,0.89
BLANCHARD-DOUCHAIN,Gaëdic,Mme,UMP,Union pour un Mouvement Populaire,12902,"  29,62","  17,83",Bal.,00201,29.62,17.83
LAFFIAC,Marie-Claude,Mme,EXG,Extrême gauche,875,"   2,01","   1,20",non,00201,2.01,1.2
TREVILLOT,Nicolas,M.,DVD,Divers droite,1185,"   2,72","   1,63",non,00201,2.72,1.63
BIBAUT,Louisette,Mme,CPNT,Chasse Pêche Nature Traditions,264,"   0,61","   0,36",non,00201,0.61,0.36
MATIS,Pascal,M.,DIV,Divers,83,"   0,19","   0,11",non,00201,0.19,0.11
ARRIBAS,Catherine,Mme,VEC,Les Verts,814,"   1,87","   1,12",non,00201,1.87,1.12
HANSEN-CATTA,Paul Henry,M.,DIV,Divers,1130,"   2,59","   1,56",non,00201,2.59,1.56
BERTRAND,Xavier,M.,UMP,Union pour un Mouvement Populaire,24007,"  53,28","  32,13",oui,00202,53.28,32.13
TOURNAY,Jean-Luc,M.,COM,Communiste,2191,"   4,86","   2,93",non,00202,4.86,2.93
DALL'ARA,Michèle,Mme,FN,Front national,2382,"   5,29","   3,18",non,00202,5.29,3.18
DESJOYAUX,Carmel,Mme,MPF,Mouvement pour la France,261,"   0,58","   0,34",non,00202,0.58,0.34
AURIGNY,Nicole,Mme,EXG,Extrême gauche,347,"   0,77","   0,46",non,00202,0.77,0.46
GRZEZICZAK,Freddy,M.,DVG,Divers gauche,1195,"   2,65","   1,59",non,00202,2.65,1.59
MOUSSET,Franck,M.,EXG,Extrême gauche,847,"   1,88","   1,13",non,00202,1.88,1.13
ZANDITENAS,Anne,Mme,EXG,Extrême gauche,461,"   1,02","   0,61",non,00202,1.02,0.61
GRZEGRZULKA,Odette,Mme,SOC,Socialiste,10278,"  22,81","  13,75",non,00202,22.81,13.75
GUILLET,Marie-José,Mme,EXD,Extrême droite,276,"   0,61","   0,36",non,00202,0.61,0.36
WARGNIER,Daniel,M.,ECO,Ecologiste,336,"   0,75","   0,44",non,00202,0.75,0.44
BETEMS,Alain,M.,CPNT,Chasse Pêche Nature Traditions,525,"   1,17","   0,70",non,00202,1.17,0.7
AHMED-ALI,Nora,Mme,VEC,Les Verts,470,"   1,04","   0,62",non,00202,1.04,0.62
SENE,Bertrand,M.,DIV,Divers,184,"   0,41","   0,24",non,00202,0.41,0.24
BAHADDOU,Ahmed,M.,UDFD,UDF-Mouvement Démocrate,1298,"   2,88","   1,73",non,00202,2.88,1.73
BALLIGAND,Jean-Pierre,M.,SOC,Socialiste,18046,"  41,16","  24,98",Bal.,00203,41.16,24.98
FAUVERGUE,Nathalie,Mme,FN,Front national,3278,"   7,48","   4,53",non,00203,7.48,4.53
MEURA,Frédéric,M.,UMP,Union pour un Mouvement Populaire,15889,"  36,24","  21,99",Bal.,00203,36.24,21.99
LEGRIS,Edwin,M.,UDFD,UDF-Mouvement Démocrate,1499,"   3,42","   2,07",non,00203,3.42,2.07
BALLOT,Véronique,Mme,MPF,Mouvement pour la France,432,"   0,99","   0,59",non,00203,0.99,0.59
SEVERAC,Dimitri,M.,EXG,Extrême gauche,947,"   2,16","   1,31",non,00203,2.16,1.31
PAILLER,Marc,M.,EXG,Extrême gauche,467,"   1,07","   0,64",non,00203,1.07,0.64
REMY,Raymonde,Mme,EXD,Extrême droite,234,"   0,53","   0,32",non,00203,0.53,0.32
DEVAUX,Ginette,Mme,COM,Communiste,1573,"   3,59","   2,17",non,00203,3.59,2.17
FLAMENGT,Andrée,Mme,CPNT,Chasse Pêche Nature Traditions,507,"   1,16","   0,70",non,00203,1.16,0.7
MAILLET,Isabelle,Mme,ECO,Ecologiste,216,"   0,49","   0,29",non,00203,0.49,0.29
CHOAIN,Monique,Mme,DIV,Divers,138,"   0,31","   0,19",non,00203,0.31,0.19
DELATTRE,Valérie,Mme,VEC,Les Verts,616,"   1,41","   0,85",non,00203,1.41,0.85
THUIN-MACHEREZ,Brigitte,Mme,UMP,Union pour un Mouvement Populaire,14481,"  32,12","  18,27",Bal.,00204,32.12,18.27
DE SAINT JUST,Wallerand,M.,FN,Front national,3726,"   8,26","   4,70",non,00204,8.26,4.7
LETRILLART,Isabelle,Mme,MPF,Mouvement pour la France,2303,"   5,11","   2,90",non,00204,5.11,2.9
VOISIN,Laetitia,Mme,EXG,Extrême gauche,657,"   1,46","   0,82",non,00204,1.46,0.82
ENGUEHARD,Philippe,M.,DIV,Divers,380,"   0,84","   0,47",non,00204,0.84,0.47
DESALLANGRE,Jacques,M.,DVG,Divers gauche,11802,"  26,17","  14,89",Bal.,00204,26.17,14.89
NATANSON,Dominique,M.,EXG,Extrême gauche,1009,"   2,24","   1,27",non,00204,2.24,1.27
LIENAUX,Henri,M.,CPNT,Chasse Pêche Nature Traditions,569,"   1,26","   0,71",non,00204,1.26,0.71
LE FLECHER,Claire,Mme,SOC,Socialiste,7322,"  16,24","   9,23",non,00204,16.24,9.23
SABLE,Yannick,M.,UDFD,UDF-Mouvement Démocrate,1949,"   4,32","   2,45",non,00204,4.32,2.45
BESBAS,Houssens,M.,DIV,Divers,22,"   0,05","   0,02",non,00204,0.05,0.02
BOCQUET,VINCENT,M.,VEC,Les Verts,869,"   1,93","   1,09",non,00204,1.93,1.09
GERET,Sylvie,Mme,EXG,Extrême gauche,780,"   1,63","   0,97",non,00205,1.63,0.97
BRIFFAUT,Franck,M.,FN,Front national,4023,"   8,42","   5,02",non,00205,8.42,5.02
JOURDAIN,Dominique,M.,SOC,Socialiste,9920,"  20,75","  12,39",Bal.,00205,20.75,12.39
PAPRITZ,Olivier,M.,MPF,Mouvement pour la France,625,"   1,31","   0,78",non,00205,1.31,0.78
ALLIOUX,Jean-Luc,M.,COM,Communiste,1047,"   2,19","   1,30",non,00205,2.19,1.3
FOURQUET,Brigitte,Mme,EXG,Extrême gauche,949,"   1,99","   1,18",non,00205,1.99,1.18
ALLEGRAUD,Aude,Mme,DIV,Divers,30,"   0,06","   0,03",non,00205,0.06,0.03
REY,Marc-Hervé,M.,ECO,Ecologiste,427,"   0,89","   0,53",non,00205,0.89,0.53
BELLIERE,Renaud,M.,UDFD,UDF-Mouvement Démocrate,2156,"   4,51","   2,69",non,00205,4.51,2.69
DERYCKERE,Annick,Mme,CPNT,Chasse Pêche Nature Traditions,502,"   1,05","   0,62",non,00205,1.05,0.62
KRABAL,Jacques,M.,DVG,Divers gauche,8446,"  17,67","  10,55",non,00205,17.67,10.55
VASSEUR,Isabelle,Mme,UMP,Union pour un Mouvement Populaire,18088,"  37,84","  22,60",Bal.,00205,37.84,22.6
CHAMBAUD,Marie-Thérèse,Mme,VEC,Les Verts,811,"   1,70","   1,01",non,00205,1.7,1.01
PERISSOL,Pierre-André,M.,UMP,Union pour un Mouvement Populaire,14563,"  40,41","  24,98",Bal.,00301,40.41,24.98
MAYRARGUE,Delphine,Mme,SOC,Socialiste,3122,"   8,66","   5,35",non,00301,8.66,5.35
GUILLAUMIN,Jean-Marie,M.,ECO,Ecologiste,293,"   0,81","   0,50",non,00301,0.81,0.5
CABANNE,Jacques,M.,COM,Communiste,2384,"   6,62","   4,08",non,00301,6.62,4.08
CHAMBEFORT,Guy,M.,DVG,Divers gauche,10975,"  30,45","  18,82",Bal.,00301,30.45,18.82
DEVILLE,Serge,M.,EXD,Extrême droite,117,"   0,32","   0,20",non,00301,0.32,0.2
GENOT,Judith,Mme,DIV,Divers,131,"   0,36","   0,22",non,00301,0.36,0.22
DEMURE,Danielle,Mme,UDFD,UDF-Mouvement Démocrate,1996,"   5,54","   3,42",non,00301,5.54,3.42
AUVRAY,Hugues,M.,DIV,Divers,163,"   0,45","   0,27",non,00301,0.45,0.27
MIALLET,Michelle,Mme,MPF,Mouvement pour la France,202,"   0,56","   0,34",non,00301,0.56,0.34
DARMANGEAT,Christophe,M.,EXG,Extrême gauche,267,"   0,74","   0,45",non,00301,0.74,0.45
CORGIE,Suzanne,Mme,DIV,Divers,3,"   0,01","   0,00",non,00301,0.01,0.0
MATICHARD,Gérard,M.,VEC,Les Verts,481,"   1,33","   0,82",non,00301,1.33,0.82
DE CONDE,Carla,Mme,FN,Front national,876,"   2,43","   1,50",non,00301,2.43,1.5
BEAUNIEUX,Michèle,Mme,EXG,Extrême gauche,464,"   1,29","   0,79",non,00301,1.29,0.79
DUGLERY,Daniel,M.,UMP,Union pour un Mouvement Populaire,16837,"  40,91","  25,37",Bal.,00302,40.91,25.37
LESTERLIN,Bernard,M.,SOC,Socialiste,10481,"  25,46","  15,79",Bal.,00302,25.46,15.79
DREYFUS,Véronique,Mme,EXG,Extrême gauche,346,"   0,84","   0,52",non,00302,0.84,0.52
MORET,Jean-Paul,M.,EXG,Extrême gauche,138,"   0,34","   0,20",non,00302,0.34,0.2
SCHURCH,Mireille,Mme,COM,Communiste,8091,"  19,66","  12,19",non,00302,19.66,12.19
RAYNAUD,Michel,M.,EXG,Extrême gauche,325,"   0,79","   0,48",non,00302,0.79,0.48
FALCON,Agnés,Mme,FN,Front national,965,"   2,34","   1,45",non,00302,2.34,1.45
AUBERT-DASSE,Claudy,Mme,VEC,Les Verts,587,"   1,43","   0,88",non,00302,1.43,0.88
LAZAREVIC,Vesna,Mme,DIV,Divers,135,"   0,33","   0,20",non,00302,0.33,0.2
NGUYEN,Christian,M.,EXG,Extrême gauche,516,"   1,25","   0,77",non,00302,1.25,0.77
CORNET,Monique,Mme,ECO,Ecologiste,308,"   0,75","   0,46",non,00302,0.75,0.46
VITTI,Georges,M.,DIV,Divers,0,"   0,00","   0,00",non,00302,0.0,0.0
LEGOUTIERE,Pierre-Antoine,M.,UDFD,UDF-Mouvement Démocrate,1752,"   4,26","   2,64",non,00302,4.26,2.64
ALBERT,Michel,M.,CPNT,Chasse Pêche Nature Traditions,368,"   0,89","   0,55",non,00302,0.89,0.55
NICOD,Marie-Thérèse,Mme,MPF,Mouvement pour la France,310,"   0,75","   0,46",non,00302,0.75,0.46
SIMON,Yves,M.,UMP,Union pour un Mouvement Populaire,18000,"  39,87","  25,44",Bal.,00303,39.87,25.44
BIDET,Dominique,M.,COM,Communiste,8299,"  18,38","  11,73",non,00303,18.38,11.73
MALLOT,Jean,M.,SOC,Socialiste,10568,"  23,41","  14,93",Bal.,00303,23.41,14.93
LEBEL,Bernard,M.,EXG,Extrême gauche,482,"   1,07","   0,68",non,00303,1.07,0.68
BAUDRILLER,Jean-Louis,M.,FN,Front national,1677,"   3,71","   2,37",non,00303,3.71,2.37
JOLY,Claude,M.,UDFD,UDF-Mouvement Démocrate,2548,"   5,64","   3,60",non,00303,5.64,3.6
GUILLAUMIN,Gérard-Pierre,M.,ECO,Ecologiste,433,"   0,96","   0,61",non,00303,0.96,0.61
GAILLARDON,Françoise,Mme,EXG,Extrême gauche,659,"   1,46","   0,93",non,00303,1.46,0.93
CHAMBEAU,Anne-Marie,Mme,VEC,Les Verts,719,"   1,59","   1,01",non,00303,1.59,1.01
DERIS-TARGON,Véronique,Mme,ECO,Ecologiste,330,"   0,73","   0,46",non,00303,0.73,0.46
MARNAY,Mireille,Mme,DIV,Divers,272,"   0,60","   0,38",non,00303,0.6,0.38
CASTANIER,Charles,M.,DIV,Divers,0,"   0,00","   0,00",non,00303,0.0,0.0
BOYER,Marc,M.,MPF,Mouvement pour la France,1162,"   2,57","   1,64",non,00303,2.57,1.64
DE CONDE,Louis,M.,FN,Front national,1622,"   4,04","   2,50",non,00304,4.04,2.5
ROCHE,Monique,Mme,EXG,Extrême gauche,158,"   0,39","   0,24",non,00304,0.39,0.24
PEYRON,Albert,M.,ECO,Ecologiste,327,"   0,82","   0,50",non,00304,0.82,0.5
SEMET,Pascale,Mme,COM,Communiste,1899,"   4,73","   2,92",non,00304,4.73,2.92
DE PORTEBANE,Marc-Claude,M.,DVD,Divers droite,1,"   0,00","   0,00",non,00304,0.0,0.0
VACHERON,Thomas,M.,EXG,Extrême gauche,655,"   1,63","   1,01",non,00304,1.63,1.01
MALHURET,Claude,M.,UMP,Union pour un Mouvement Populaire,16148,"  40,25","  24,90",Bal.,00304,40.25,24.9
VITTI,Louis,M.,DIV,Divers,0,"   0,00","   0,00",non,00304,0.0,0.0
RONDEPIERRE,Daniel,M.,VEC,Les Verts,861,"   2,15","   1,32",non,00304,2.15,1.32
BEGE,Sophie,Mme,UDFD,UDF-Mouvement Démocrate,2000,"   4,98","   3,08",non,00304,4.98,3.08
MAYADOUX,Jacques,M.,MPF,Mouvement pour la France,461,"   1,15","   0,71",non,00304,1.15,0.71
PICOULEAU,Nadine,Mme,CPNT,Chasse Pêche Nature Traditions,261,"   0,65","   0,40",non,00304,0.65,0.4
CHARASSE,Gérard,M.,RDG,Radical de gauche,15729,"  39,20","  24,25",Bal.,00304,39.2,24.25
PANISSE,Micheline,Mme,EXD,Extrême droite,260,"   0,68","   0,44",non,00401,0.68,0.44
SILVY,Jean-Claude,M.,MPF,Mouvement pour la France,543,"   1,42","   0,92",non,00401,1.42,0.92
HERNANDEZ,Aurore,Mme,COM,Communiste,1304,"   3,41","   2,22",non,00401,3.41,2.22
BARREILLE,Eliane,Mme,UMP,Union pour un Mouvement Populaire,14745,"  38,60","  25,20",Bal.,00401,38.6,25.2
JEANSELME,Bernard,M.,EXG,Extrême gauche,165,"   0,43","   0,28",non,00401,0.43,0.28
TEBAR,Joelle,Mme,UDFD,UDF-Mouvement Démocrate,1841,"   4,82","   3,14",non,00401,4.82,3.14
LORENZELLI,Marie-France,Mme,ECO,Ecologiste,397,"   1,04","   0,67",non,00401,1.04,0.67
DANIEL,Monique,Mme,CPNT,Chasse Pêche Nature Traditions,716,"   1,87","   1,22",non,00401,1.87,1.22
ALONSO,Caroline,Mme,EXG,Extrême gauche,251,"   0,66","   0,42",non,00401,0.66,0.42
BIANCO,Jean-Louis,M.,SOC,Socialiste,13902,"  36,40","  23,76",Bal.,00401,36.4,23.76
VALLON,Martine,Mme,VEC,Les Verts,1272,"   3,33","   2,17",non,00401,3.33,2.17
JOUZIER-BERGES,Mireille,Mme,FN,Front national,1600,"   4,19","   2,73",non,00401,4.19,2.73
MILANOVIC,Jean,M.,DIV,Divers,83,"   0,22","   0,14",non,00401,0.22,0.14
LAFON,Venise,Mme,EXG,Extrême gauche,856,"   2,24","   1,46",non,00401,2.24,1.46
CHUISANO,Noël,M.,DVD,Divers droite,109,"   0,29","   0,18",non,00401,0.29,0.18
PIECHOTA,Catherine,Mme,DIV,Divers,153,"   0,40","   0,26",non,00401,0.4,0.26
SENES,Claude,M.,EXG,Extrême gauche,156,"   0,40","   0,25",non,00402,0.4,0.25
SPAGNOU,Daniel,M.,UMP,Union pour un Mouvement Populaire,18249,"  46,25","  29,98",Bal.,00402,46.25,29.98
CAUVIN,Jean-Claude,M.,COM,Communiste,1789,"   4,53","   2,93",non,00402,4.53,2.93
RAVERA,Gilles,M.,CPNT,Chasse Pêche Nature Traditions,629,"   1,59","   1,03",non,00402,1.59,1.03
RAPHEL,Véronique,Mme,ECO,Ecologiste,385,"   0,98","   0,63",non,00402,0.98,0.63
VERSCHUEREN,Isabelle,Mme,UDFD,UDF-Mouvement Démocrate,2269,"   5,75","   3,72",non,00402,5.75,3.72
DOUZON,Jeannine,Mme,MPF,Mouvement pour la France,426,"   1,08","   0,69",non,00402,1.08,0.69
DEJASMIN,Xavier,M.,DIV,Divers,320,"   0,81","   0,52",non,00402,0.81,0.52
CASTANER,Christophe,M.,SOC,Socialiste,11232,"  28,46","  18,45",Bal.,00402,28.46,18.45
D'ORNANO,Mireille,Mme,FN,Front national,1702,"   4,31","   2,79",non,00402,4.31,2.79
GARNON,Patrick,M.,VEC,Les Verts,1125,"   2,85","   1,84",non,00402,2.85,1.84
DENKO,Karine,Mme,EXG,Extrême gauche,825,"   2,09","   1,35",non,00402,2.09,1.35
ILLY,Max,M.,EXG,Extrême gauche,176,"   0,45","   0,28",non,00402,0.45,0.28
CHASSAING,Michèle,Mme,EXD,Extrême droite,178,"   0,45","   0,29",non,00402,0.45,0.29
EYRAUD,Jean-Claude,M.,EXG,Extrême gauche,3434,"   9,28","   5,95",non,00501,9.28,5.95
LEFORESTIER,Aurore,Mme,EXD,Extrême droite,142,"   0,38","   0,24",non,00501,0.38,0.24
ARNAUD,Jean-Michel,M.,UDFD,UDF-Mouvement Démocrate,6244,"  16,87","  10,82",non,00501,16.87,10.82
LELIEVRE,Martine,Mme,FN,Front national,1093,"   2,95","   1,89",non,00501,2.95,1.89
MARTINEZ,Henriette,Mme,UMP,Union pour un Mouvement Populaire,14736,"  39,81","  25,55",Bal.,00501,39.81,25.55
DUPRE,Denis,M.,ECO,Ecologiste,135,"   0,36","   0,23",non,00501,0.36,0.23
KRIEF,Brigitte,Mme,DIV,Divers,249,"   0,67","   0,43",non,00501,0.67,0.43
TARBOURIECH,Marie,Mme,VEC,Les Verts,1269,"   3,43","   2,20",non,00501,3.43,2.2
FAURE,Patrick,M.,CPNT,Chasse Pêche Nature Traditions,682,"   1,84","   1,18",non,00501,1.84,1.18
DAUDON,Jacques,M.,DIV,Divers,57,"   0,15","   0,09",non,00501,0.15,0.09
THOMAS,Elisabeth,Mme,EXG,Extrême gauche,306,"   0,83","   0,53",non,00501,0.83,0.53
SCHWENDEMANN,Marcelle,Mme,ECO,Ecologiste,359,"   0,97","   0,62",non,00501,0.97,0.62
FAURE,Colette,Mme,MPF,Mouvement pour la France,339,"   0,92","   0,58",non,00501,0.92,0.58
BERGER,Karine,Mme,SOC,Socialiste,7972,"  21,54","  13,82",Bal.,00501,21.54,13.82
GIRAUD,Joël,M.,RDG,Radical de gauche,11248,"  36,84","  24,53",Bal.,00502,36.84,24.53
BOUTEILLE,Jean-Pierre,M.,EXD,Extrême droite,83,"   0,27","   0,18",non,00502,0.27,0.18
SCHULLER,Christian,M.,COM,Communiste,618,"   2,02","   1,34",non,00502,2.02,1.34
BAYROU,Alain,M.,UMP,Union pour un Mouvement Populaire,10666,"  34,94","  23,26",Bal.,00502,34.94,23.26
PELLION,Michel Louis,M.,FN,Front national,667,"   2,18","   1,45",non,00502,2.18,1.45
LEROY,Pierre,M.,VEC,Les Verts,1238,"   4,06","   2,69",non,00502,4.06,2.69
CHABOY,Vincent,M.,EXG,Extrême gauche,517,"   1,69","   1,12",non,00502,1.69,1.12
PERRIN ,Monique,Mme,DIV,Divers,234,"   0,77","   0,51",non,00502,0.77,0.51
SAUGE,Gérard,M.,EXG,Extrême gauche,134,"   0,44","   0,29",non,00502,0.44,0.29
GARCIA,André,M.,CPNT,Chasse Pêche Nature Traditions,450,"   1,47","   0,98",non,00502,1.47,0.98
BOBIN,Claude,M.,MPF,Mouvement pour la France,197,"   0,65","   0,42",non,00502,0.65,0.42
GOLLION,Jacques,M.,ECO,Ecologiste,151,"   0,49","   0,32",non,00502,0.49,0.32
EYMEOUD,Chantal,Mme,UDFD,UDF-Mouvement Démocrate,4327,"  14,17","   9,43",non,00502,14.17,9.43
FRANCOIS,Michel,M.,ECO,Ecologiste,404,"   1,20","   0,69",non,00601,1.2,0.69
FRANCOIS,Rémy,M.,FN,Front national,1977,"   5,87","   3,39",non,00601,5.87,3.39
GOVERNATORI,Jean-Marc,M.,DIV,Divers,248,"   0,74","   0,42",non,00601,0.74,0.42
RICERCHI,Christophe,M.,EXG,Extrême gauche,292,"   0,87","   0,50",non,00601,0.87,0.5
ALLEMAND,Patrick,M.,SOC,Socialiste,7870,"  23,35","  13,49",Bal.,00601,23.35,13.49
BENKEMOUN,Agnès,Mme,EXG,Extrême gauche,142,"   0,42","   0,24",non,00601,0.42,0.24
VARDON,Philippe,M.,EXD,Extrême droite,773,"   2,29","   1,32",non,00601,2.29,1.32
RIVIERE,Jérôme,M.,DVD,Divers droite,3315,"   9,84","   5,68",non,00601,9.84,5.68
INJEY,Robert,M.,COM,Communiste,1062,"   3,15","   1,82",non,00601,3.15,1.82
GOMEZ,Ambre,Mme,EXG,Extrême gauche,265,"   0,79","   0,45",non,00601,0.79,0.45
LISBONA,Danielle,Mme,DVD,Divers droite,332,"   0,99","   0,56",non,00601,0.99,0.56
FERRIERE,Mounia,Mme,VEC,Les Verts,474,"   1,41","   0,81",non,00601,1.41,0.81
CAEL,Hervé,M.,UDFD,UDF-Mouvement Démocrate,1530,"   4,54","   2,62",non,00601,4.54,2.62
CIOTTI,Eric,M.,UMP,Union pour un Mouvement Populaire,15017,"  44,56","  25,75",Bal.,00601,44.56,25.75
MARLAND-MILITELLO,Muriel,Mme,UMP,Union pour un Mouvement Populaire,19113,"  54,28","  30,82",oui,00602,54.28,30.82
BOY-MOTTARD,Dominique,Mme,SOC,Socialiste,7482,"  21,25","  12,06",non,00602,21.25,12.06
LOEUILLET,Benoît,M.,EXD,Extrême droite,938,"   2,66","   1,51",non,00602,2.66,1.51
PISONI,Jean-Pierre,M.,EXG,Extrême gauche,197,"   0,56","   0,31",non,00602,0.56,0.31
LEBOUCHER,Jacques,M.,ECO,Ecologiste,354,"   1,01","   0,57",non,00602,1.01,0.57
MARTINAUX,Joëlle,Mme,MPF,Mouvement pour la France,676,"   1,92","   1,09",non,00602,1.92,1.09
ALAUZET,Stéphane,M.,DIV,Divers,165,"   0,47","   0,26",non,00602,0.47,0.26
PELLERO,Patrica,Mme,FN,Front national,2320,"   6,59","   3,74",non,00602,6.59,3.74
RIGOLAT,Joël,M.,DVD,Divers droite,85,"   0,24","   0,13",non,00602,0.24,0.13
MARKIEL,Joseph,M.,EXG,Extrême gauche,95,"   0,27","   0,15",non,00602,0.27,0.15
TIECHE,Fanny,Mme,EXG,Extrême gauche,445,"   1,26","   0,71",non,00602,1.26,0.71
