NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,RapportExprimes,RapportInscrits
7,LEBEE,Stéphanie,Mme,VEC,Europe-Ecologie-Les Verts,727,"   1,69","   0,92",non,00204,1.69,0.92
8,LAURISTON,Charles-Edouard,M.,PRV,Parti radical,891,"   2,07","   1,12",non,00204,2.07,1.12
9,RUELLE,Evelyne,Mme,FN,Front National,8062,"  18,70","  10,20",non,00204,18.7,10.2
10,SAPORI,Michelle,Mme,DVD,Divers droite,353,"   0,82","   0,44",non,00204,0.82,0.44
11,LEHIDEUX,Martine,Mme,EXD,Extrême droite,412,"   0,96","   0,52",non,00204,0.96,0.52
1,POIRET,Jean-Claude,M.,DVD,Divers droite,466,"   0,98","   0,57",non,00205,0.98,0.57
2,VASSEUR,Isabelle,Mme,UMP,Union pour un Mouvement Populaire,14820,"  31,22","  18,29",Bal.,00205,31.22,18.29
3,KRABAL,Jacques,M.,RDG,Radical de Gauche,14141,"  29,79","  17,45",Bal.,00205,29.79,17.45
4,BRIFFAUT,Franck,M.,FN,Front National,10793,"  22,74","  13,32",Bal.,00205,22.74,13.32
5,JOURDAIN,Dominique,M.,VEC,Europe-Ecologie-Les Verts,4647,"   9,79","   5,73",non,00205,9.79,5.73
6,AUSECACHE,Mireille,Mme,FG,Front de gauche,2115,"   4,46","   2,61",non,00205,4.46,2.61
7,GERET,Sylvie,Mme,EXG,Extrême gauche,489,"   1,03","   0,60",non,00205,1.03,0.6
1,LACARIN,Marie-Françoise,Mme,FG,Front de gauche,8050,"  14,67","   8,90",non,00301,14.67,8.9
2,LECRIQUE,Yves,M.,FN,Front National,5307,"   9,67","   5,87",non,00301,9.67,5.87
3,MATICHARD,Gérard,M.,VEC,Europe-Ecologie-Les Verts,1296,"   2,36","   1,43",non,00301,2.36,1.43
4,CHAMBEFORT,Guy,M.,SOC,Socialiste,20947,"  38,17","  23,18",Bal.,00301,38.17,23.18
5,GUILLAUMIN,Gérard,M.,ECO,Ecologiste,543,"   0,99","   0,60",non,00301,0.99,0.6
6,PERISSOL,Pierre-André,M.,UMP,Union pour un Mouvement Populaire,18312,"  33,36","  20,26",Bal.,00301,33.36,20.26
7,LEBEL,Bernard,M.,EXG,Extrême gauche,429,"   0,78","   0,47",non,00301,0.78,0.47
1,COUVAL,Marie,Mme,VEC,Europe-Ecologie-Les Verts,1069,"   2,07","   1,23",non,00302,2.07,1.23
2,GUILLAUMIN,Jean-Marie,M.,ECO,Ecologiste,507,"   0,98","   0,58",non,00302,0.98,0.58
3,BOURDUGE,Luc,M.,FG,Front de gauche,8342,"  16,18","   9,61",non,00302,16.18,9.61
4,LESTERLIN,Bernard,M.,SOC,Socialiste,18828,"  36,51","  21,70",Bal.,00302,36.51,21.7
5,COURTY,Pascal,M.,FN,Front National,5181,"  10,05","   5,97",non,00302,10.05,5.97
6,DREYFUS,Véronique,Mme,EXG,Extrême gauche,336,"   0,65","   0,38",non,00302,0.65,0.38
7,MORET,Jean-Paul,M.,EXG,Extrême gauche,121,"   0,23","   0,13",non,00302,0.23,0.13
8,CASILLA,René,M.,EXG,Extrême gauche,390,"   0,76","   0,44",non,00302,0.76,0.44
9,TAILLANDIER,Bernard,M.,DVD,Divers droite,811,"   1,57","   0,93",non,00302,1.57,0.93
10,DUGLERY,Daniel,M.,UMP,Union pour un Mouvement Populaire,15980,"  30,99","  18,42",Bal.,00302,30.99,18.42
1,MALHURET,Claude,M.,UMP,Union pour un Mouvement Populaire,15232,"  32,38","  19,27",Bal.,00303,32.38,19.27
2,JAVERLIAT,Pascal,M.,PRV,Parti radical,325,"   0,69","   0,41",non,00303,0.69,0.41
3,BABIAN-LHERMET,Anne,Mme,VEC,Europe-Ecologie-Les Verts,903,"   1,92","   1,14",non,00303,1.92,1.14
4,SIRY,Renaud,M.,ECO,Ecologiste,142,"   0,30","   0,17",non,00303,0.3,0.17
5,CARCASSIN,Jean-Marc,M.,NCE,Nouveau Centre,273,"   0,58","   0,34",non,00303,0.58,0.34
6,SEMET,Pascale,Mme,FG,Front de gauche,2650,"   5,63","   3,35",non,00303,5.63,3.35
7,LOPEZ,Claudine,Mme,FN,Front National,6415,"  13,64","   8,11",non,00303,13.64,8.11
8,RASILE,Sylvie,Mme,CEN,Le Centre pour la France,593,"   1,26","   0,75",non,00303,1.26,0.75
9,RUCAR,Patrice,M.,ECO,Ecologiste,307,"   0,65","   0,38",non,00303,0.65,0.38
10,ROCHE,Monique,Mme,EXG,Extrême gauche,207,"   0,44","   0,26",non,00303,0.44,0.26
11,CHARASSE,Gérard,M.,RDG,Radical de Gauche,19996,"  42,51","  25,30",Bal.,00303,42.51,25.3
1,SANTIAGO,Frédéric,M.,CEN,Le Centre pour la France,565,"   1,52","   0,93",non,00401,1.52,0.93
2,EVANO,Ludivine,Mme,DVD,Divers droite,0,"   0,00","   0,00",non,00401,0.0,0.0
3,BAUDOUI-MAUREL,Marie-Anne,Mme,DVD,Divers droite,1187,"   3,19","   1,95",non,00401,3.19,1.95
4,AUBERT,Ghislaine,Mme,FN,Front National,6160,"  16,57","  10,16",non,00401,16.57,10.16
5,CARLE,Mireille,Mme,EXG,Extrême gauche,170,"   0,46","   0,28",non,00401,0.46,0.28
6,RAGOLSKI,Daniel,M.,ECO,Ecologiste,693,"   1,86","   1,14",non,00401,1.86,1.14
7,DE MEESTER,Gérard,M.,VEC,Europe-Ecologie-Les Verts,3014,"   8,11","   4,97",non,00401,8.11,4.97
8,ALONSO,Caroline,Mme,EXG,Extrême gauche,192,"   0,52","   0,31",non,00401,0.52,0.31
9,SAUVAN,Gilbert,M.,SOC,Socialiste,12286,"  33,04","  20,27",Bal.,00401,33.04,20.27
10,BARREILLE,Eliane,Mme,UMP,Union pour un Mouvement Populaire,8804,"  23,68","  14,53",Bal.,00401,23.68,14.53
11,PIN,Jean-Louis,M.,FG,Front de gauche,3654,"   9,83","   6,03",non,00401,9.83,6.03
12,TEBAR,Joëlle,Mme,NCE,Nouveau Centre,180,"   0,48","   0,29",non,00401,0.48,0.29
13,CABASSUT,Hubert,M.,DVG,Divers gauche,279,"   0,75","   0,46",non,00401,0.75,0.46
1,GUEBLI,Yamina,Mme,ECO,Ecologiste,327,"   0,84","   0,51",non,00402,0.84,0.51
2,BELMONTE,Cyril,M.,EXG,Extrême gauche,138,"   0,36","   0,21",non,00402,0.36,0.21
3,VERSCHUEREN,Isabelle,Mme,CEN,Le Centre pour la France,627,"   1,62","   0,99",non,00402,1.62,0.99
4,MORIN,Bruno,M.,NCE,Nouveau Centre,317,"   0,82","   0,50",non,00402,0.82,0.5
5,CHUISANO,Noël,M.,DVD,Divers droite,315,"   0,81","   0,49",non,00402,0.81,0.49
6,CASTEL,Jean-Claude,M.,UMP,Union pour un Mouvement Populaire,11549,"  29,77","  18,23",Bal.,00402,29.77,18.23
7,DIEDRICH,Jean-Claude,M.,FN,Front National,5915,"  15,25","   9,34",non,00402,15.25,9.34
8,CASTANER,Christophe,M.,SOC,Socialiste,13872,"  35,76","  21,90",Bal.,00402,35.76,21.9
9,BERTHONNECHE,Catherine,Mme,VEC,Europe-Ecologie-Les Verts,1702,"   4,39","   2,68",non,00402,4.39,2.68
10,ROVIDA,Jean-Michel,M.,ALLI,Alliance centriste,220,"   0,57","   0,34",non,00402,0.57,0.34
11,CARRIOL,Martine,Mme,FG,Front de gauche,3635,"   9,37","   5,74",non,00402,9.37,5.74
12,PICARD,Brigitte,Mme,EXG,Extrême gauche,179,"   0,46","   0,28",non,00402,0.46,0.28
1,PAJOT,Thierry,M.,CEN,Le Centre pour la France,630,"   1,85","   1,12",non,00501,1.85,1.12
2,DERBEZ,Bernard,M.,VEC,Europe-Ecologie-Les Verts,1315,"   3,86","   2,34",non,00501,3.86,2.34
3,HADJI,Guy,M.,ECO,Ecologiste,154,"   0,45","   0,27",non,00501,0.45,0.27
4,ROSAY,Fabrice,M.,EXG,Extrême gauche,107,"   0,31","   0,19",non,00501,0.31,0.19
5,DAUDON,Jacques,M.,AUT,Autres,121,"   0,36","   0,21",non,00501,0.36,0.21
6,FAY,Danielle,Mme,DVD,Divers droite,264,"   0,78","   0,47",non,00501,0.78,0.47
7,MONIER,Elodie,Mme,FN,Front National,4999,"  14,69","   8,90",non,00501,14.69,8.9
8,BERGER,Karine,Mme,SOC,Socialiste,10181,"  29,92","  18,14",Bal.,00501,29.92,18.14
9,BLANC,Guy,M.,DVG,Divers gauche,3650,"  10,73","   6,50",non,00501,10.73,6.5
10,COINTE,Jean,M.,UMP,Union pour un Mouvement Populaire,9206,"  27,05","  16,40",Bal.,00501,27.05,16.4
11,EYRAUD,Jean-Claude,M.,FG,Front de gauche,3404,"  10,00","   6,06",non,00501,10.0,6.06
1,BUISSON,Véronique,Mme,EXG,Extrême gauche,126,"   0,41","   0,24",non,00502,0.41,0.24
2,BRIAND,Sophie,Mme,FN,Front National,3126,"  10,06","   6,15",non,00502,10.06,6.15
3,EYMEOUD,Chantal,Mme,UMP,Union pour un Mouvement Populaire,10438,"  33,59","  20,54",Bal.,00502,33.59,20.54
4,FAIDY,Sandrine,Mme,DVD,Divers droite,276,"   0,89","   0,54",non,00502,0.89,0.54
5,BEN-HAIM,Michel,M.,AUT,Autres,156,"   0,50","   0,30",non,00502,0.5,0.3
6,GIRAUD,Joël,M.,RDG,Radical de Gauche,13362,"  43,00","  26,30",Bal.,00502,43.0,26.3
7,DAERDEN,Francine,Mme,VEC,Europe-Ecologie-Les Verts,1665,"   5,36","   3,27",non,00502,5.36,3.27
8,PERRIN CZEKALSKI,Monique,Mme,ECO,Ecologiste,254,"   0,82","   0,49",non,00502,0.82,0.49
9,GUIGLI,Catherine,Mme,FG,Front de gauche,1674,"   5,39","   3,29",non,00502,5.39,3.29
1,GOVERNATORI,Jean-Marc,M.,ECO,Ecologiste,324,"   0,71","   0,39",non,00601,0.71,0.39
2,ULLMANN,Maryse,Mme,ECO,Ecologiste,498,"   1,09","   0,60",non,00601,1.09,0.6
3,ARGENTIERI,Pierre,M.,DVD,Divers droite,503,"   1,11","   0,61",non,00601,1.11,0.61
4,GASTAUD,Jean-Pierre,M.,AUT,Autres,16,"   0,04","   0,01",non,00601,0.04,0.01
5,RICERCHI,Christophe,M.,EXG,Extrême gauche,135,"   0,30","   0,16",non,00601,0.3,0.16
6,CIOTTI,Eric,M.,UMP,Union pour un Mouvement Populaire,19971,"  43,89","  24,26",Bal.,00601,43.89,24.26
7,BELHADI,Jean-Paul,M.,DVD,Divers droite,239,"   0,53","   0,29",non,00601,0.53,0.29
8,FORTUIT,Loïc,M.,EXG,Extrême gauche,303,"   0,67","   0,36",non,00601,0.67,0.36
9,PEYRAT,Jacques,M.,EXD,Extrême droite,7351,"  16,16","   8,93",non,00601,16.16,8.93
10,HORSCH FILIPPI,Alix,Mme,REG,Régionaliste,82,"   0,18","   0,09",non,00601,0.18,0.09
11,BENKEMOUN,Agnès,Mme,EXG,Extrême gauche,86,"   0,19","   0,10",non,00601,0.19,0.1
12,INJEY,Robert,M.,FG,Front de gauche,2083,"   4,58","   2,53",non,00601,4.58,2.53
13,ALLEMAND,Patrick,M.,SOC,Socialiste,13048,"  28,68","  15,85",Bal.,00601,28.68,15.85
14,COTTA,Michel,M.,EXD,Extrême droite,214,"   0,47","   0,26",non,00601,0.47,0.26
15,RAZEAU,Christian,M.,CEN,Le Centre pour la France,649,"   1,43","   0,78",non,00601,1.43,0.78
1,ASCHIERI,André,M.,VEC,Europe-Ecologie-Les Verts,13802,"  28,72","  16,74",Bal.,00602,28.72,16.74
2,MIRAN,Patrice,M.,ECO,Ecologiste,654,"   1,36","   0,79",non,00602,1.36,0.79
3,GINESY,Charles Ange,M.,UMP,Union pour un Mouvement Populaire,17197,"  35,78","  20,86",Bal.,00602,35.78,20.86
4,CATTAERT,Frédérique,Mme,FG,Front de gauche,1974,"   4,11","   2,39",non,00602,4.11,2.39
5,PAULUS,Michelle,Mme,EXG,Extrême gauche,182,"   0,38","   0,22",non,00602,0.38,0.22
6,DEGIOANNI,Jean-Marc,M.,FN,Front National,10123,"  21,06","  12,28",non,00602,21.06,12.28
7,BOUILLEAUX,Alain,M.,EXG,Extrême gauche,146,"   0,30","   0,17",non,00602,0.3,0.17
8,REYNARD,Brigitte,Mme,ECO,Ecologiste,601,"   1,25","   0,72",non,00602,1.25,0.72
9,LACHENMAIER,Fabrice,M.,RDG,Radical de Gauche,3385,"   7,04","   4,10",non,00602,7.04,4.1
1,VALLADE,Marie-José,Mme,ECO,Ecologiste,558,"   1,18","   0,63",non,00603,1.18,0.63
2,NOFRI,Gaël,M.,FN,Front National,10770,"  22,75","  12,32",non,00603,22.75,12.32
3,KUREK,Igor,M.,DVD,Divers droite,125,"   0,26","   0,14",non,00603,0.26,0.14
4,BOULOUDHNINE,Marouane,M.,CEN,Le Centre pour la France,833,"   1,76","   0,95",non,00603,1.76,0.95
5,ROOS,Denis,M.,DVD,Divers droite,143,"   0,30","   0,16",non,00603,0.3,0.16
6,CATTET,Marie-Edith,Mme,EXD,Extrême droite,387,"   0,82","   0,44",non,00603,0.82,0.44
7,MAILLOT,Sylvain,M.,AUT,Autres,248,"   0,52","   0,28",non,00603,0.52,0.28
8,PEREIRA,Marie-José,Mme,EXG,Extrême gauche,81,"   0,17","   0,09",non,00603,0.17,0.09
9,BURDIN,Didier,M.,DVD,Divers droite,234,"   0,49","   0,26",non,00603,0.49,0.26
10,GRAC,Roseline,Mme,FG,Front de gauche,2370,"   5,01","   2,71",non,00603,5.01,2.71
11,BACINO,Laurent,M.,EXG,Extrême gauche,167,"   0,35","   0,19",non,00603,0.35,0.19
12,DELÉTANG,Delphine,Mme,ECO,Ecologiste,337,"   0,71","   0,38",non,00603,0.71,0.38
13,DOREJO,Christine,Mme,SOC,Socialiste,10891,"  23,01","  12,46",Bal.,00603,23.01,12.46
14,MONICA,Patrick,M.,DVD,Divers droite,218,"   0,46","   0,24",non,00603,0.46,0.24
15,DELLA SUDDA,Bruno,M.,EXG,Extrême gauche,518,"   1,09","   0,59",non,00603,1.09,0.59
16,PICARD,Jean-Christophe,M.,RDG,Radical de Gauche,2032,"   4,29","   2,32",non,00603,4.29,2.32
17,SALLES,Rudy,M.,NCE,Nouveau Centre,17420,"  36,80","  19,93",Bal.,00603,36.8,19.93
1,TUJAGUE,Francis,M.,FG,Front de gauche,4905,"  10,18","   5,77",non,00604,10.18,5.77
2,BELLA,Lucien,M.,ECO,Ecologiste,505,"   1,05","   0,59",non,00604,1.05,0.59
3,ZAHAR,Nicolas,M.,DVD,Divers droite,361,"   0,75","   0,42",non,00604,0.75,0.42
4,SCHENARDI,Lydia,Mme,FN,Front National,11039,"  22,90","  13,00",Bal.,00604,22.9,13.0
5,GIORGIO,Thierry,M.,DVD,Divers droite,713,"   1,48","   0,83",non,00604,1.48,0.83
6,SECORDEL-MARTIN,Jean Philippe,M.,ECO,Ecologiste,609,"   1,26","   0,71",non,00604,1.26,0.71
7,GUIBAL,Jean-Claude,M.,UMP,Union pour un Mouvement Populaire,15763,"  32,70","  18,57",Bal.,00604,32.7,18.57
8,CHERKI,Stéphane,M.,DVD,Divers droite,4642,"   9,63","   5,46",non,00604,9.63,5.46
9,GERARD,Pascale,Mme,SOC,Socialiste,9541,"  19,79","  11,24",non,00604,19.79,11.24
10,MARKIEL,Joseph,M.,EXG,Extrême gauche,127,"   0,26","   0,14",non,00604,0.26,0.14
1,BALLOUARD,Brigitte,Mme,ECO,Ecologiste,615,"   1,25","   0,71",non,00605,1.25,0.71
2,ESTROSI,Christian,M.,UMP,Union pour un Mouvement Populaire,21814,"  44,23","  25,53",Bal.,00605,44.23,25.53
3,CIARAVOLA,Florence,Mme,EXG,Extrême gauche,475,"   0,96","   0,55",non,00605,0.96,0.55
4,ALEXANDRE,Jean-Marie,M.,EXG,Extrême gauche,74,"   0,15","   0,08",non,00605,0.15,0.08
5,GAZIELLO,Emmanuelle,Mme,FG,Front de gauche,1944,"   3,94","   2,27",non,00605,3.94,2.27
6,HVIDSTEN,Axel,M.,ECO,Ecologiste,333,"   0,68","   0,38",non,00605,0.68,0.38
7,CARDIN,Danielle,Mme,FN,Front National,10559,"  21,41","  12,36",non,00605,21.41,12.36
8,DUPRÉ,Gildas,M.,CEN,Le Centre pour la France,649,"   1,32","   0,75",non,00605,1.32,0.75
9,MITRANO,Anthony,M.,DVD,Divers droite,307,"   0,62","   0,35",non,00605,0.62,0.35
10,PISONI,Jean-Pierre,M.,EXG,Extrême gauche,132,"   0,27","   0,15",non,00605,0.27,0.15
11,CUTURELLO,Paul,M.,SOC,Socialiste,12419,"  25,18","  14,53",Bal.,00605,25.18,14.53
1,PAULUS,Jean-Louis,M.,EXG,Extrême gauche,195,"   0,46","   0,25",non,00606,0.46,0.25
2,GANDIN,Philippe,M.,FG,Front de gauche,1461,"   3,44","   1,91",non,00606,3.44,1.91
3,FAVALE,Paul,M.,EXG,Extrême gauche,86,"   0,20","   0,11",non,00606,0.2,0.11
4,GAUTIER,Sylvie,Mme,SOC,Socialiste,9461,"  22,28","  12,43",non,00606,22.28,12.43
5,DE MESMAY,Hubert,M.,FN,Front National,8536,"  20,10","  11,21",non,00606,20.1,11.21
6,BARTOLI,Danièle,Mme,EXG,Extrême gauche,94,"   0,22","   0,12",non,00606,0.22,0.12
7,WELDON,Oonagh,Mme,ECO,Ecologiste,787,"   1,85","   1,03",non,00606,1.85,1.03
8,LUCA,Lionnel,M.,UMP,Union pour un Mouvement Populaire,21841,"  51,44","  28,70",oui,00606,51.44,28.7
1,GILLARD,Maurice,M.,ECO,Ecologiste,1105,"   2,18","   1,23",non,00607,2.18,1.23
2,FRAPPA,Jean-Claude,M.,EXD,Extrême droite,588,"   1,16","   0,65",non,00607,1.16,0.65
3,LEONETTI,Jean,M.,UMP,Union pour un Mouvement Populaire,25912,"  51,10","  28,88",oui,00607,51.1,28.88
